 RANCH version 2.1 - r(9684)
 Started: ............................................... : Wed Oct 11 13:48:38 2017
 iSeed .................................................. : 1387296217
 Chain type ............................................. : Random
 Sequence file name: .................................... : fcp1.seq
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 84
 Number of atoms: ....................................... : 84
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
       1               1387296217     2
       2               1387296218     2
       3               1387296219     2
       4               1387296220     2
       5               1387296221     2
       6               1387296222     2
       7               1387296223     2
       8               1387296224     2
       9               1387296225     2
      10               1387296226     2
      11               1387296227     2
      12               1387296228     2
      13               1387296229     2
      14               1387296230     2
      15               1387296231     2
      16               1387296232     2
      17               1387296233     2
      18               1387296234     2
      19               1387296235     2
      20               1387296236     2
      21               1387296237     2
      22               1387296238     2
      23               1387296239     2
      24               1387296240     2
      25               1387296241     2
      26               1387296242     2
      27               1387296243     2
      28               1387296244     2
      29               1387296245     2
      30               1387296246     2
      31               1387296247     2
      32               1387296248     2
      33               1387296249     2
      34               1387296250     2
      35               1387296251     2
      36               1387296252     2
      37               1387296253     2
      38               1387296254     2
      39               1387296255     2
      40               1387296256     2
      41               1387296257     2
      42               1387296258     2
      43               1387296259     2
      44               1387296260     2
      45               1387296261     2
      46               1387296262     2
      47               1387296263     2
      48               1387296264     2
      49               1387296265     2
      50               1387296266     2
      51               1387296267     2
      52               1387296268     2
      53               1387296269     2
      54               1387296270     2
      55               1387296271     2
      56               1387296272     2
      57               1387296273     2
      58               1387296274     2
      59               1387296275     2
      60               1387296276     2
      61               1387296277     2
      62               1387296278     2
      63               1387296279     2
      64               1387296280     2
      65               1387296281     2
      66               1387296282     2
      67               1387296283     2
      68               1387296284     2
      69               1387296285     2
      70               1387296286     2
      71               1387296287     2
      72               1387296288     2
      73               1387296289     2
      74               1387296290     2
      75               1387296291     2
      76               1387296292     2
      77               1387296293     2
      78               1387296294     2
      79               1387296295     2
      80               1387296296     2
      81               1387296297     2
      82               1387296298     2
      83               1387296299     2
      84               1387296300     2
      85               1387296301     2
      86               1387296302     2
      87               1387296303     2
      88               1387296304     2
      89               1387296305     2
      90               1387296306     2
      91               1387296307     2
      92               1387296308     2
      93               1387296309     2
      94               1387296310     2
      95               1387296311     2
      96               1387296312     2
      97               1387296313     2
      98               1387296314     2
      99               1387296315     2
     100               1387296316     2
     101               1387296317     2
     102               1387296318     2
     103               1387296319     2
     104               1387296320     2
     105               1387296321     2
     106               1387296322     2
     107               1387296323     2
     108               1387296324     2
     109               1387296325     2
     110               1387296326     2
     111               1387296327     2
     112               1387296328     2
     113               1387296329     2
     114               1387296330     2
     115               1387296331     2
     116               1387296332     2
     117               1387296333     2
     118               1387296334     2
     119               1387296335     2
     120               1387296336     2
     121               1387296337     2
     122               1387296338     2
     123               1387296339     2
     124               1387296340     2
     125               1387296341     2
     126               1387296342     2
     127               1387296343     2
     128               1387296344     2
     129               1387296345     2
     130               1387296346     2
     131               1387296347     2
     132               1387296348     2
     133               1387296349     2
     134               1387296350     2
     135               1387296351     2
     136               1387296352     2
     137               1387296353     2
     138               1387296354     2
     139               1387296355     2
     140               1387296356     2
     141               1387296357     2
     142               1387296358     2
     143               1387296359     2
     144               1387296360     2
     145               1387296361     2
     146               1387296362     2
     147               1387296363     2
     148               1387296364     2
     149               1387296365     2
     150               1387296366     2
     151               1387296367     2
     152               1387296368     2
     153               1387296369     2
     154               1387296370     2
     155               1387296371     2
     156               1387296372     2
     157               1387296373     2
     158               1387296374     2
     159               1387296375     2
     160               1387296376     2
     161               1387296377     2
     162               1387296378     2
     163               1387296379     2
     164               1387296380     2
     165               1387296381     2
     166               1387296382     2
     167               1387296383     2
     168               1387296384     2
     169               1387296385     2
     170               1387296386     2
     171               1387296387     2
     172               1387296388     2
     173               1387296389     2
     174               1387296390     2
     175               1387296391     2
     176               1387296392     2
     177               1387296393     2
     178               1387296394     2
     179               1387296395     2
     180               1387296396     2
     181               1387296397     2
     182               1387296398     2
     183               1387296399     2
     184               1387296400     2
     185               1387296401     2
     186               1387296402     2
     187               1387296403     2
     188               1387296404     2
     189               1387296405     2
     190               1387296406     2
     191               1387296407     2
     192               1387296408     2
     193               1387296409     2
     194               1387296410     2
     195               1387296411     2
     196               1387296412     2
     197               1387296413     2
     198               1387296414     2
     199               1387296415     2
     200               1387296416     2
     201               1387296417     2
     202               1387296418     2
     203               1387296419     2
     204               1387296420     2
     205               1387296421     2
     206               1387296422     2
     207               1387296423     2
     208               1387296424     2
     209               1387296425     2
     210               1387296426     2
     211               1387296427     2
     212               1387296428     2
     213               1387296429     2
     214               1387296430     2
     215               1387296431     2
     216               1387296432     2
     217               1387296433     2
     218               1387296434     2
     219               1387296435     2
     220               1387296436     2
     221               1387296437     2
     222               1387296438     2
     223               1387296439     2
     224               1387296440     2
     225               1387296441     2
     226               1387296442     2
     227               1387296443     2
     228               1387296444     2
     229               1387296445     2
     230               1387296446     2
     231               1387296447     2
     232               1387296448     2
     233               1387296449     2
     234               1387296450     2
     235               1387296451     2
     236               1387296452     2
     237               1387296453     2
     238               1387296454     2
     239               1387296455     2
     240               1387296456     2
     241               1387296457     2
     242               1387296458     2
     243               1387296459     2
     244               1387296460     2
     245               1387296461     2
     246               1387296462     2
     247               1387296463     2
     248               1387296464     2
     249               1387296465     2
     250               1387296466     2
     251               1387296467     2
     252               1387296468     2
     253               1387296469     2
     254               1387296470     2
     255               1387296471     2
     256               1387296472     2
     257               1387296473     2
     258               1387296474     2
     259               1387296475     2
     260               1387296476     2
     261               1387296477     2
     262               1387296478     2
     263               1387296479     2
     264               1387296480     2
     265               1387296481     2
     266               1387296482     2
     267               1387296483     2
     268               1387296484     2
     269               1387296485     2
     270               1387296486     2
     271               1387296487     2
     272               1387296488     2
     273               1387296489     2
     274               1387296490     2
     275               1387296491     2
     276               1387296492     2
     277               1387296493     2
     278               1387296494     2
     279               1387296495     2
     280               1387296496     2
     281               1387296497     2
     282               1387296498     2
     283               1387296499     2
     284               1387296500     2
     285               1387296501     2
     286               1387296502     2
     287               1387296503     2
     288               1387296504     2
     289               1387296505     2
     290               1387296506     2
     291               1387296507     2
     292               1387296508     2
     293               1387296509     2
     294               1387296510     2
     295               1387296511     2
     296               1387296512     2
     297               1387296513     2
     298               1387296514     2
     299               1387296515     2
     300               1387296516     2
     301               1387296517     2
     302               1387296518     2
     303               1387296519     2
     304               1387296520     2
     305               1387296521     2
     306               1387296522     2
     307               1387296523     2
     308               1387296524     2
     309               1387296525     2
     310               1387296526     2
     311               1387296527     2
     312               1387296528     2
     313               1387296529     2
     314               1387296530     2
     315               1387296531     2
     316               1387296532     2
     317               1387296533     2
     318               1387296534     2
     319               1387296535     2
     320               1387296536     2
     321               1387296537     2
     322               1387296538     2
     323               1387296539     2
     324               1387296540     2
     325               1387296541     2
     326               1387296542     2
     327               1387296543     2
     328               1387296544     2
     329               1387296545     2
     330               1387296546     2
     331               1387296547     2
     332               1387296548     2
     333               1387296549     2
     334               1387296550     2
     335               1387296551     2
     336               1387296552     2
     337               1387296553     2
     338               1387296554     2
     339               1387296555     2
     340               1387296556     2
     341               1387296557     2
     342               1387296558     2
     343               1387296559     2
     344               1387296560     2
     345               1387296561     2
     346               1387296562     2
     347               1387296563     2
     348               1387296564     2
     349               1387296565     2
     350               1387296566     2
     351               1387296567     2
     352               1387296568     2
     353               1387296569     2
     354               1387296570     2
     355               1387296571     2
     356               1387296572     2
     357               1387296573     2
     358               1387296574     2
     359               1387296575     2
     360               1387296576     2
     361               1387296577     2
     362               1387296578     2
     363               1387296579     2
     364               1387296580     2
     365               1387296581     2
     366               1387296582     2
     367               1387296583     2
     368               1387296584     2
     369               1387296585     2
     370               1387296586     2
     371               1387296587     2
     372               1387296588     2
     373               1387296589     2
