 RANCH version 2.1 - r(10584)
 Started: ............................................... : Wed Oct 17 11:39:55 2018
 iSeed .................................................. : 1906904818
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 86
 Number of atoms: ....................................... : 86
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
       1               1906904818     2
       2               1906904819     2
       3               1906904820     2
       4               1906904821     2
       5               1906904822     2
       6               1906904823     2
       7               1906904824     2
       8               1906904825     2
       9               1906904826     2
      10               1906904827     2
      11               1906904828     2
      12               1906904829     2
      13               1906904830     2
      14               1906904831     2
      15               1906904832     2
      16               1906904833     2
      17               1906904834     2
      18               1906904835     2
      19               1906904836     2
      20               1906904837     2
      21               1906904838     2
      22               1906904839     2
      23               1906904840     2
      24               1906904841     2
      25               1906904842     2
      26               1906904843     2
      27               1906904844     2
      28               1906904845     2
      29               1906904846     2
      30               1906904847     2
      31               1906904848     2
      32               1906904849     2
      33               1906904850     2
      34               1906904851     2
      35               1906904852     2
      36               1906904853     2
      37               1906904854     2
      38               1906904855     2
      39               1906904856     2
      40               1906904857     2
      41               1906904858     2
      42               1906904859     2
      43               1906904860     2
      44               1906904861     2
      45               1906904862     2
      46               1906904863     2
      47               1906904864     2
      48               1906904865     2
      49               1906904866     2
      50               1906904867     2
      51               1906904868     2
      52               1906904869     2
      53               1906904870     2
      54               1906904871     2
      55               1906904872     2
      56               1906904873     2
      57               1906904874     2
      58               1906904875     2
      59               1906904876     2
      60               1906904877     2
      61               1906904878     2
      62               1906904879     2
      63               1906904880     2
      64               1906904881     2
      65               1906904882     2
      66               1906904883     2
      67               1906904884     2
      68               1906904885     2
      69               1906904886     2
      70               1906904887     2
      71               1906904888     2
      72               1906904889     2
      73               1906904890     2
      74               1906904891     2
      75               1906904892     2
      76               1906904893     2
      77               1906904894     2
      78               1906904895     2
      79               1906904896     2
      80               1906904897     2
      81               1906904898     2
      82               1906904899     2
      83               1906904900     2
      84               1906904901     2
      85               1906904902     2
      86               1906904903     2
      87               1906904904     2
      88               1906904905     2
      89               1906904906     2
      90               1906904907     2
      91               1906904908     2
      92               1906904909     2
      93               1906904910     2
      94               1906904911     2
      95               1906904912     2
      96               1906904913     2
      97               1906904914     2
      98               1906904915     2
      99               1906904916     2
     100               1906904917     2
     101               1906904918     2
     102               1906904919     2
     103               1906904920     2
     104               1906904921     2
     105               1906904922     2
     106               1906904923     2
     107               1906904924     2
     108               1906904925     2
     109               1906904926     2
     110               1906904927     2
     111               1906904928     2
     112               1906904929     2
     113               1906904930     2
     114               1906904931     2
     115               1906904932     2
     116               1906904933     2
     117               1906904934     2
     118               1906904935     2
     119               1906904936     2
     120               1906904937     2
     121               1906904938     2
     122               1906904939     2
     123               1906904940     2
     124               1906904941     2
     125               1906904942     2
     126               1906904943     2
     127               1906904944     2
     128               1906904945     2
     129               1906904946     2
     130               1906904947     2
     131               1906904948     2
     132               1906904949     2
     133               1906904950     2
     134               1906904951     2
     135               1906904952     2
     136               1906904953     2
     137               1906904954     2
     138               1906904955     2
     139               1906904956     2
     140               1906904957     2
     141               1906904958     2
     142               1906904959     2
     143               1906904960     2
     144               1906904961     2
     145               1906904962     2
     146               1906904963     2
     147               1906904964     2
     148               1906904965     2
     149               1906904966     2
     150               1906904967     2
     151               1906904968     2
     152               1906904969     2
     153               1906904970     2
     154               1906904971     2
     155               1906904972     2
     156               1906904973     2
     157               1906904974     2
     158               1906904975     2
     159               1906904976     2
     160               1906904977     2
     161               1906904978     2
     162               1906904979     2
     163               1906904980     2
     164               1906904981     2
     165               1906904982     2
     166               1906904983     2
     167               1906904984     2
     168               1906904985     2
     169               1906904986     2
     170               1906904987     2
     171               1906904988     2
     172               1906904989     2
     173               1906904990     2
     174               1906904991     2
     175               1906904992     2
     176               1906904993     2
     177               1906904994     2
     178               1906904995     2
     179               1906904996     2
     180               1906904997     2
