 RANCH version 2.1 - r(10584)
 Started: ............................................... : Tue Nov  6 20:50:12 2018
 iSeed .................................................. : 1320722728
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 87
 Number of atoms: ....................................... : 87
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./Desktop/g891c/
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
       1               1320722728     2
       2               1320722729     2
       3               1320722730     2
       4               1320722731     2
       5               1320722732     2
       6               1320722733     2
       7               1320722734     2
       8               1320722735     2
       9               1320722736     2
      10               1320722737     2
      11               1320722738     2
      12               1320722739     2
      13               1320722740     2
      14               1320722741     2
      15               1320722742     2
      16               1320722743     2
      17               1320722744     2
      18               1320722745     2
      19               1320722746     2
      20               1320722747     2
      21               1320722748     2
      22               1320722749     2
      23               1320722750     2
      24               1320722751     2
      25               1320722752     2
      26               1320722753     2
      27               1320722754     2
      28               1320722755     2
      29               1320722756     2
      30               1320722757     2
      31               1320722758     2
      32               1320722759     2
      33               1320722760     2
      34               1320722761     2
      35               1320722762     2
      36               1320722763     2
      37               1320722764     2
      38               1320722765     2
      39               1320722766     2
      40               1320722767     2
      41               1320722768     2
      42               1320722769     2
      43               1320722770     2
      44               1320722771     2
      45               1320722772     2
      46               1320722773     2
      47               1320722774     2
      48               1320722775     2
      49               1320722776     2
      50               1320722777     2
      51               1320722778     2
      52               1320722779     2
      53               1320722780     2
      54               1320722781     2
      55               1320722782     2
      56               1320722783     2
      57               1320722784     2
      58               1320722785     2
      59               1320722786     2
      60               1320722787     2
      61               1320722788     2
      62               1320722789     2
      63               1320722790     2
      64               1320722791     2
      65               1320722792     2
      66               1320722793     2
      67               1320722794     2
      68               1320722795     2
      69               1320722796     2
      70               1320722797     2
      71               1320722798     2
      72               1320722799     2
      73               1320722800     2
      74               1320722801     2
      75               1320722802     2
      76               1320722803     2
      77               1320722804     2
      78               1320722805     2
      79               1320722806     2
      80               1320722807     2
      81               1320722808     2
      82               1320722809     2
      83               1320722810     2
      84               1320722811     2
      85               1320722812     2
      86               1320722813     2
      87               1320722814     2
      88               1320722815     2
      89               1320722816     2
      90               1320722817     2
      91               1320722818     2
      92               1320722819     2
      93               1320722820     2
      94               1320722821     2
      95               1320722822     2
      96               1320722823     2
      97               1320722824     2
      98               1320722825     2
      99               1320722826     2
     100               1320722827     2
     101               1320722828     2
     102               1320722829     2
     103               1320722830     2
     104               1320722831     2
     105               1320722832     2
     106               1320722833     2
     107               1320722834     2
     108               1320722835     2
     109               1320722836     2
     110               1320722837     2
     111               1320722838     2
     112               1320722839     2
     113               1320722840     2
     114               1320722841     2
     115               1320722842     2
     116               1320722843     2
     117               1320722844     2
     118               1320722845     2
     119               1320722846     2
     120               1320722847     2
     121               1320722848     2
     122               1320722849     2
     123               1320722850     2
     124               1320722851     2
     125               1320722852     2
     126               1320722853     2
     127               1320722854     2
     128               1320722855     2
     129               1320722856     2
     130               1320722857     2
     131               1320722858     2
     132               1320722859     2
     133               1320722860     2
     134               1320722861     2
     135               1320722862     2
     136               1320722863     2
     137               1320722864     2
     138               1320722865     2
     139               1320722866     2
     140               1320722867     2
     141               1320722868     2
     142               1320722869     2
     143               1320722870     2
     144               1320722871     2
     145               1320722872     2
     146               1320722873     2
     147               1320722874     2
     148               1320722875     2
     149               1320722876     2
     150               1320722877     2
     151               1320722878     2
     152               1320722879     2
     153               1320722880     2
     154               1320722881     2
     155               1320722882     2
     156               1320722883     2
     157               1320722884     2
     158               1320722885     2
     159               1320722886     2
     160               1320722887     2
     161               1320722888     2
     162               1320722889     2
     163               1320722890     2
     164               1320722891     2
     165               1320722892     2
     166               1320722893     2
     167               1320722894     2
     168               1320722895     2
     169               1320722896     2
     170               1320722897     2
     171               1320722898     2
     172               1320722899     2
     173               1320722900     2
     174               1320722901     2
     175               1320722902     2
     176               1320722903     2
     177               1320722904     2
     178               1320722905     2
     179               1320722906     2
     180               1320722907     2
     181               1320722908     2
     182               1320722909     2
     183               1320722910     2
     184               1320722911     2
     185               1320722912     2
     186               1320722913     2
     187               1320722914     2
     188               1320722915     2
     189               1320722916     2
     190               1320722917     2
     191               1320722918     2
     192               1320722919     2
     193               1320722920     2
     194               1320722921     2
     195               1320722922     2
     196               1320722923     2
     197               1320722924     2
     198               1320722925     2
     199               1320722926     2
     200               1320722927     2
     201               1320722928     2
     202               1320722929     2
     203               1320722930     2
     204               1320722931     2
     205               1320722932     2
     206               1320722933     2
     207               1320722934     2
     208               1320722935     2
     209               1320722936     2
     210               1320722937     2
     211               1320722938     2
     212               1320722939     2
     213               1320722940     2
     214               1320722941     2
     215               1320722942     2
     216               1320722943     2
     217               1320722944     2
     218               1320722945     2
     219               1320722946     2
     220               1320722947     2
     221               1320722948     2
     222               1320722949     2
     223               1320722950     2
     224               1320722951     2
     225               1320722952     2
     226               1320722953     2
     227               1320722954     2
     228               1320722955     2
     229               1320722956     2
     230               1320722957     2
     231               1320722958     2
     232               1320722959     2
     233               1320722960     2
     234               1320722961     2
     235               1320722962     2
     236               1320722963     2
     237               1320722964     2
     238               1320722965     2
     239               1320722966     2
     240               1320722967     2
     241               1320722968     2
     242               1320722969     2
     243               1320722970     2
     244               1320722971     2
     245               1320722972     2
     246               1320722973     2
     247               1320722974     2
     248               1320722975     2
     249               1320722976     2
     250               1320722977     2
     251               1320722978     2
     252               1320722979     2
     253               1320722980     2
     254               1320722981     2
     255               1320722982     2
     256               1320722983     2
     257               1320722984     2
     258               1320722985     2
     259               1320722986     2
     260               1320722987     2
     261               1320722988     2
     262               1320722989     2
     263               1320722990     2
     264               1320722991     2
     265               1320722992     2
     266               1320722993     2
     267               1320722994     2
     268               1320722995     2
     269               1320722996     2
     270               1320722997     2
     271               1320722998     2
     272               1320722999     2
     273               1320723000     2
     274               1320723001     2
     275               1320723002     2
     276               1320723003     2
     277               1320723004     2
     278               1320723005     2
     279               1320723006     2
     280               1320723007     2
     281               1320723008     2
     282               1320723009     2
     283               1320723010     2
     284               1320723011     2
     285               1320723012     2
     286               1320723013     2
     287               1320723014     2
     288               1320723015     2
     289               1320723016     2
     290               1320723017     2
     291               1320723018     2
     292               1320723019     2
     293               1320723020     2
     294               1320723021     2
     295               1320723022     2
     296               1320723023     2
     297               1320723024     2
     298               1320723025     2
     299               1320723026     2
     300               1320723027     2
